scenario,timestep_3,parameter,value
scr1985,ini1,scrProb,0
scr1986,ini1,scrProb,0
scr1989,ini1,scrProb,0
scr1991,ini1,scrProb,0
scr1992,ini1,scrProb,0
scr1994,ini1,scrProb,0.4
scr1996,ini1,scrProb,0.085714286
scr2000,ini1,scrProb,0.314285714
scr2001,ini1,scrProb,0
scr2003,ini1,scrProb,0
scr2004,ini1,scrProb,0
scr2005,ini1,scrProb,0
scr2006,ini1,scrProb,0.114285714
scr2007,ini1,scrProb,0
scr2012,ini1,scrProb,0
scr2013,ini1,scrProb,0
scr2016,ini1,scrProb,0.085714286
scr1985,ini2,scrProb,0.285714286
scr1986,ini2,scrProb,0
scr1989,ini2,scrProb,0
scr1991,ini2,scrProb,0
scr1992,ini2,scrProb,0.057142857
scr1994,ini2,scrProb,0
scr1996,ini2,scrProb,0
scr2000,ini2,scrProb,0
scr2001,ini2,scrProb,0
scr2003,ini2,scrProb,0
scr2004,ini2,scrProb,0.285714286
scr2005,ini2,scrProb,0
scr2006,ini2,scrProb,0
scr2007,ini2,scrProb,0.114285714
scr2012,ini2,scrProb,0.257142857
scr2013,ini2,scrProb,0
scr2016,ini2,scrProb,0
scr1985,ini3,scrProb,0
scr1986,ini3,scrProb,0.114285714
scr1989,ini3,scrProb,0
scr1991,ini3,scrProb,0.228571429
scr1992,ini3,scrProb,0.285714286
scr1994,ini3,scrProb,0
scr1996,ini3,scrProb,0
scr2000,ini3,scrProb,0
scr2001,ini3,scrProb,0.114285714
scr2003,ini3,scrProb,0
scr2004,ini3,scrProb,0
scr2005,ini3,scrProb,0
scr2006,ini3,scrProb,0
scr2007,ini3,scrProb,0
scr2012,ini3,scrProb,0
scr2013,ini3,scrProb,0.257142857
scr2016,ini3,scrProb,0
scr1985,ini4,scrProb,0
scr1986,ini4,scrProb,0
scr1989,ini4,scrProb,0.085714286
scr1991,ini4,scrProb,0
scr1992,ini4,scrProb,0
scr1994,ini4,scrProb,0.285714286
scr1996,ini4,scrProb,0
scr2000,ini4,scrProb,0
scr2001,ini4,scrProb,0.2
scr2003,ini4,scrProb,0.2
scr2004,ini4,scrProb,0
scr2005,ini4,scrProb,0.228571429
scr2006,ini4,scrProb,0
scr2007,ini4,scrProb,0
scr2012,ini4,scrProb,0
scr2013,ini4,scrProb,0
scr2016,ini4,scrProb,0
