scenario_1,parameter,value
s2016,scrProb,0.256410256410256
s2014,scrProb,0.153846153846154
s2009,scrProb,0.17948717948718
s2018,scrProb,0.153846153846154
s1989,scrProb,0.128205128205128
s2013,scrProb,0.128205128205128
