timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,NL,s2013,electricity,dem,10.9699389757901
h0002,NL,s2013,electricity,dem,10.6474829318341
h0003,NL,s2013,electricity,dem,10.5208689208451
h0004,NL,s2013,electricity,dem,10.5629952944714
h0005,NL,s2013,electricity,dem,10.9621876021637
h0006,NL,s2013,electricity,dem,12.1341876021637
h0007,NL,s2013,electricity,dem,13.940070843922
h0008,NL,s2013,electricity,dem,15.2039032615044
h0009,NL,s2013,electricity,dem,15.7996532615044
h0010,NL,s2013,electricity,dem,15.9846024373286
h0011,NL,s2013,electricity,dem,15.9909788109549
h0012,NL,s2013,electricity,dem,15.8328194702956
h0013,NL,s2013,electricity,dem,15.7905735911747
h0014,NL,s2013,electricity,dem,15.7042480417242
h0015,NL,s2013,electricity,dem,15.6972040856802
h0016,NL,s2013,electricity,dem,16.0243126021637
h0017,NL,s2013,electricity,dem,16.7960832065593
h0018,NL,s2013,electricity,dem,16.5226697450209
h0019,NL,s2013,electricity,dem,16.0008606790868
h0020,NL,s2013,electricity,dem,15.2248895252407
h0021,NL,s2013,electricity,dem,14.2835859538121
h0022,NL,s2013,electricity,dem,13.2687246900758
h0023,NL,s2013,electricity,dem,12.3445365032626
h0024,NL,s2013,electricity,dem,11.5322947450209
h0025,NL,s2013,electricity,dem,10.9872696497901
h0026,NL,s2013,electricity,dem,10.6648136058341
h0027,NL,s2013,electricity,dem,10.5381995948451
h0028,NL,s2013,electricity,dem,10.5803259684714
h0029,NL,s2013,electricity,dem,10.9795182761637
h0030,NL,s2013,electricity,dem,12.1515182761637
h0031,NL,s2013,electricity,dem,13.957401517922
h0032,NL,s2013,electricity,dem,15.2212339355044
h0033,NL,s2013,electricity,dem,15.8169839355044
h0034,NL,s2013,electricity,dem,16.0019331113286
h0035,NL,s2013,electricity,dem,16.008309484955
h0036,NL,s2013,electricity,dem,15.8501501442956
h0037,NL,s2013,electricity,dem,15.8079042651747
h0038,NL,s2013,electricity,dem,15.7215787157242
h0039,NL,s2013,electricity,dem,15.7145347596802
h0040,NL,s2013,electricity,dem,16.0416432761637
h0041,NL,s2013,electricity,dem,16.8134138805593
h0042,NL,s2013,electricity,dem,16.5400004190209
h0043,NL,s2013,electricity,dem,16.0181913530868
h0044,NL,s2013,electricity,dem,15.2422201992407
h0045,NL,s2013,electricity,dem,14.3009166278121
h0046,NL,s2013,electricity,dem,13.2860553640758
h0047,NL,s2013,electricity,dem,12.3618671772626
h0048,NL,s2013,electricity,dem,11.5496254190209
h0049,NL,s2013,electricity,dem,10.6605783079901
h0050,NL,s2013,electricity,dem,10.3381222640341
h0051,NL,s2013,electricity,dem,10.2115082530451
h0052,NL,s2013,electricity,dem,10.2536346266714
h0053,NL,s2013,electricity,dem,10.6528269343637
h0054,NL,s2013,electricity,dem,11.8248269343637
h0055,NL,s2013,electricity,dem,13.630710176122
h0056,NL,s2013,electricity,dem,14.8945425937044
h0057,NL,s2013,electricity,dem,15.4902925937044
h0058,NL,s2013,electricity,dem,15.6752417695286
h0059,NL,s2013,electricity,dem,15.6816181431549
h0060,NL,s2013,electricity,dem,15.5234588024956
h0061,NL,s2013,electricity,dem,15.4812129233747
h0062,NL,s2013,electricity,dem,15.3948873739242
h0063,NL,s2013,electricity,dem,15.3878434178802
h0064,NL,s2013,electricity,dem,15.7149519343637
h0065,NL,s2013,electricity,dem,16.4867225387593
h0066,NL,s2013,electricity,dem,16.2133090772209
h0067,NL,s2013,electricity,dem,15.6915000112868
h0068,NL,s2013,electricity,dem,14.9155288574407
h0069,NL,s2013,electricity,dem,13.9742252860121
h0070,NL,s2013,electricity,dem,12.9593640222758
h0071,NL,s2013,electricity,dem,12.0351758354626
h0072,NL,s2013,electricity,dem,11.2229340772209
h0073,NL,s2013,electricity,dem,10.5440511977901
h0074,NL,s2013,electricity,dem,10.2215951538341
h0075,NL,s2013,electricity,dem,10.0949811428451
h0076,NL,s2013,electricity,dem,10.1371075164714
h0077,NL,s2013,electricity,dem,10.5362998241637
h0078,NL,s2013,electricity,dem,11.7082998241637
h0079,NL,s2013,electricity,dem,13.514183065922
h0080,NL,s2013,electricity,dem,14.7780154835044
h0081,NL,s2013,electricity,dem,15.3737654835044
h0082,NL,s2013,electricity,dem,15.5587146593286
h0083,NL,s2013,electricity,dem,15.5650910329549
h0084,NL,s2013,electricity,dem,15.4069316922956
h0085,NL,s2013,electricity,dem,15.3646858131747
h0086,NL,s2013,electricity,dem,15.2783602637242
h0087,NL,s2013,electricity,dem,15.2713163076802
h0088,NL,s2013,electricity,dem,15.5984248241637
h0089,NL,s2013,electricity,dem,16.3701954285593
h0090,NL,s2013,electricity,dem,16.0967819670209
h0091,NL,s2013,electricity,dem,15.5749729010868
h0092,NL,s2013,electricity,dem,14.7990017472407
h0093,NL,s2013,electricity,dem,13.8576981758121
h0094,NL,s2013,electricity,dem,12.8428369120758
h0095,NL,s2013,electricity,dem,11.9186487252626
h0096,NL,s2013,electricity,dem,11.1064069670209
