timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2089,dem,28.45787604377686
h0002,AT,electricity,scr2089,dem,31.166198763049017
h0003,AT,electricity,scr2089,dem,31.198839362897175
h0004,AT,electricity,scr2089,dem,33.58912555941078
h0005,AT,electricity,scr2089,dem,32.02630400737258
h0006,AT,electricity,scr2089,dem,29.555230907525207
h0007,AT,electricity,scr2089,dem,28.648116989637238
h0008,AT,electricity,scr2089,dem,26.061937782094212
h0009,AT,electricity,scr2089,dem,29.213238026884987
h0010,AT,electricity,scr2089,dem,28.539298665097554
h0011,AT,electricity,scr2089,dem,31.75019559431954
h0012,AT,electricity,scr2089,dem,29.814625574306124
h0013,AT,electricity,scr2089,dem,28.79733904821645
h0014,AT,electricity,scr2089,dem,30.537838982656815
h0015,AT,electricity,scr2089,dem,32.255491615018954
h0016,AT,electricity,scr2089,dem,38.05961358747673
h0017,AT,electricity,scr2089,dem,31.438393830467238
h0018,AT,electricity,scr2089,dem,29.04810969423928
h0019,AT,electricity,scr2089,dem,22.336740696274145
h0020,AT,electricity,scr2089,dem,28.902360799602558
h0021,AT,electricity,scr2089,dem,27.59081303242774
h0022,AT,electricity,scr2089,dem,25.554219486679152
h0023,AT,electricity,scr2089,dem,21.18159195187804
h0024,AT,electricity,scr2089,dem,27.26678595975149
h0025,AT,electricity,scr2089,dem,32.489982537466176
h0026,AT,electricity,scr2089,dem,33.60877462203971
h0027,AT,electricity,scr2089,dem,21.647297608630122
h0028,AT,electricity,scr2089,dem,14.165771895052025
h0029,AT,electricity,scr2089,dem,7.288723721565836
h0030,AT,electricity,scr2089,dem,6.107908630652094
h0031,AT,electricity,scr2089,dem,6.191134049172247
h0032,AT,electricity,scr2089,dem,9.010005228199907
h0033,AT,electricity,scr2089,dem,9.802061339358126
h0034,AT,electricity,scr2089,dem,13.603800065428661
h0035,AT,electricity,scr2089,dem,13.126480909873713
h0036,AT,electricity,scr2089,dem,12.17652591460012
h0037,AT,electricity,scr2089,dem,8.087688070096517
h0038,AT,electricity,scr2089,dem,6.348040124719191
h0039,AT,electricity,scr2089,dem,6.865582574494075
h0040,AT,electricity,scr2089,dem,6.684788008261016
h0041,AT,electricity,scr2089,dem,7.101329645132344
h0042,AT,electricity,scr2089,dem,7.071888302213814
h0043,AT,electricity,scr2089,dem,6.4870862033930745
h0044,AT,electricity,scr2089,dem,7.052703458124803
h0045,AT,electricity,scr2089,dem,6.506730389589055
h0046,AT,electricity,scr2089,dem,6.858160407976403
h0047,AT,electricity,scr2089,dem,5.840553175865218
h0048,AT,electricity,scr2089,dem,5.76618606150298
h0049,AT,electricity,scr2089,dem,5.404377710812424
h0050,AT,electricity,scr2089,dem,4.912648543112701
h0051,AT,electricity,scr2089,dem,4.7142092299915035
h0052,AT,electricity,scr2089,dem,4.3932911527772
h0053,AT,electricity,scr2089,dem,4.625624205624622
h0054,AT,electricity,scr2089,dem,4.606151783846352
h0055,AT,electricity,scr2089,dem,5.402867004802944
h0056,AT,electricity,scr2089,dem,6.178542756491668
h0057,AT,electricity,scr2089,dem,7.192991965461443
h0058,AT,electricity,scr2089,dem,7.596649487019761
h0059,AT,electricity,scr2089,dem,6.904749589493628
h0060,AT,electricity,scr2089,dem,7.041171317930081
h0061,AT,electricity,scr2089,dem,6.475166710040716
h0062,AT,electricity,scr2089,dem,7.269677171501389
h0063,AT,electricity,scr2089,dem,7.030231224089011
h0064,AT,electricity,scr2089,dem,7.519481568899131
h0065,AT,electricity,scr2089,dem,7.428530610423074
h0066,AT,electricity,scr2089,dem,6.706364459761053
h0067,AT,electricity,scr2089,dem,6.534717416865421
h0068,AT,electricity,scr2089,dem,5.872288077478876
h0069,AT,electricity,scr2089,dem,6.27855706124639
h0070,AT,electricity,scr2089,dem,5.8668918001933
h0071,AT,electricity,scr2089,dem,5.891503716019348
h0072,AT,electricity,scr2089,dem,5.446387484480304
h0073,AT,electricity,scr2089,dem,5.02170053580853
h0074,AT,electricity,scr2089,dem,4.754345978766009
h0075,AT,electricity,scr2089,dem,4.430513831576372
h0076,AT,electricity,scr2089,dem,4.482196354320305
h0077,AT,electricity,scr2089,dem,4.410873197644541
h0078,AT,electricity,scr2089,dem,4.87021169830215
h0079,AT,electricity,scr2089,dem,5.4500958525040595
h0080,AT,electricity,scr2089,dem,6.378272800241085
h0081,AT,electricity,scr2089,dem,7.127711021376852
h0082,AT,electricity,scr2089,dem,6.705209872402856
h0083,AT,electricity,scr2089,dem,6.955410968291504
h0084,AT,electricity,scr2089,dem,6.516632949512827
h0085,AT,electricity,scr2089,dem,7.3843480099566445
h0086,AT,electricity,scr2089,dem,7.180172339403784
h0087,AT,electricity,scr2089,dem,7.862052269440984
h0088,AT,electricity,scr2089,dem,7.7806918351128385
h0089,AT,electricity,scr2089,dem,6.990462828857407
h0090,AT,electricity,scr2089,dem,6.688428307642656
h0091,AT,electricity,scr2089,dem,6.250900189801586
h0092,AT,electricity,scr2089,dem,7.070199056052978
h0093,AT,electricity,scr2089,dem,6.78215221899543
h0094,AT,electricity,scr2089,dem,6.827626207350161
h0095,AT,electricity,scr2089,dem,6.322356775285321
h0096,AT,electricity,scr2089,dem,5.764596839302572
h0001,CH,electricity,scr2089,dem,24.426260408944213
h0002,CH,electricity,scr2089,dem,25.735448814523547
h0003,CH,electricity,scr2089,dem,26.950696809590614
h0004,CH,electricity,scr2089,dem,27.90902435705714
h0005,CH,electricity,scr2089,dem,25.397920149606428
h0006,CH,electricity,scr2089,dem,22.0176019458749
h0007,CH,electricity,scr2089,dem,20.37884098269177
h0008,CH,electricity,scr2089,dem,20.31636050862984
h0009,CH,electricity,scr2089,dem,20.590987489060172
h0010,CH,electricity,scr2089,dem,19.432305640966042
h0011,CH,electricity,scr2089,dem,18.398911236176517
h0012,CH,electricity,scr2089,dem,17.87263333672279
h0013,CH,electricity,scr2089,dem,19.02924791885639
h0014,CH,electricity,scr2089,dem,20.518257570192745
h0015,CH,electricity,scr2089,dem,22.52043214835453
h0016,CH,electricity,scr2089,dem,23.681083464479695
