timestep_6,region_1,technology_1,scenario_1,parameter,value
h0014,CH,wind,scr2089,avaConv,0.01828879964009767
h0015,CH,wind,scr2089,avaConv,0.11714238282895868
h0016,CH,wind,scr2089,avaConv,0.09871093044376193
h0017,CH,wind,scr2089,avaConv,0.36560422382103536
h0018,CH,wind,scr2089,avaConv,0.15129355897133076
h0019,CH,wind,scr2089,avaConv,0.2734127223429387
h0020,CH,wind,scr2089,avaConv,0.06160601274915765
h0021,CH,wind,scr2089,avaConv,0.06479434627541367
h0022,CH,wind,scr2089,avaConv,0.056967164712284385
h0023,CH,wind,scr2089,avaConv,0.07646349142694195
h0024,CH,wind,scr2089,avaConv,0.7788672473523137
h0025,CH,wind,scr2089,avaConv,0.6992994524507592
h0026,CH,wind,scr2089,avaConv,0.6753762811816767
h0027,CH,wind,scr2089,avaConv,0.42693328944045483
h0028,CH,wind,scr2089,avaConv,0.2684066029231007
h0029,CH,wind,scr2089,avaConv,0.22962038908199536
h0030,CH,wind,scr2089,avaConv,0.007171076080464426
h0031,CH,wind,scr2089,avaConv,0.022149377021819294
h0032,CH,wind,scr2089,avaConv,0.03036802357894908
h0033,CH,wind,scr2089,avaConv,0.29866082002344607
h0034,CH,wind,scr2089,avaConv,0.2736005039794619
h0035,CH,wind,scr2089,avaConv,0.30868161802854804
h0036,CH,wind,scr2089,avaConv,0.019526049651455317
h0037,CH,wind,scr2089,avaConv,0.0030615422288432985
h0038,CH,wind,scr2089,avaConv,0.0
h0039,CH,wind,scr2089,avaConv,0.0016612788086619488
h0040,CH,wind,scr2089,avaConv,0.010358399359828544
h0041,CH,wind,scr2089,avaConv,0.0313327515558682
h0042,CH,wind,scr2089,avaConv,0.029609247934729823
h0043,CH,wind,scr2089,avaConv,0.013746092884019628
h0044,CH,wind,scr2089,avaConv,0.02757300898622338
h0045,CH,wind,scr2089,avaConv,0.0438354339647561
h0046,CH,wind,scr2089,avaConv,0.047089181669627125
h0047,CH,wind,scr2089,avaConv,0.018377191779125595
h0048,CH,wind,scr2089,avaConv,0.0031722681710543905
h0049,CH,wind,scr2089,avaConv,0.0026078067661614436
h0050,CH,wind,scr2089,avaConv,0.00030245731573039653
h0051,CH,wind,scr2089,avaConv,0.00028185588263273894
h0052,CH,wind,scr2089,avaConv,0.009724696322554639
h0053,CH,wind,scr2089,avaConv,0.011883414242275223
h0054,CH,wind,scr2089,avaConv,0.011960633405443948
h0055,CH,wind,scr2089,avaConv,0.0010260826050397078
h0056,CH,wind,scr2089,avaConv,0.0027053112958155966
h0057,CH,wind,scr2089,avaConv,0.004007660285151677
h0058,CH,wind,scr2089,avaConv,0.003025089057226589
h0059,CH,wind,scr2089,avaConv,0.0008690424715431234
h0060,CH,wind,scr2089,avaConv,0.00032543015705660707
h0061,CH,wind,scr2089,avaConv,0.0001500418809006245
h0062,CH,wind,scr2089,avaConv,0.0
h0063,CH,wind,scr2089,avaConv,0.00029122404279452094
h0064,CH,wind,scr2089,avaConv,0.0014088916680866537
h0065,CH,wind,scr2089,avaConv,0.005381352691726187
h0066,CH,wind,scr2089,avaConv,0.0038897562487276464
h0067,CH,wind,scr2089,avaConv,0.001749816843014035
h0068,CH,wind,scr2089,avaConv,0.0014843911632560598
h0069,CH,wind,scr2089,avaConv,0.0012391591121550464
h0070,CH,wind,scr2089,avaConv,0.018941004436903733
h0071,CH,wind,scr2089,avaConv,0.014461629410678974
h0072,CH,wind,scr2089,avaConv,0.020821302751461383
h0073,CH,wind,scr2089,avaConv,0.0026855315911253883
h0074,CH,wind,scr2089,avaConv,0.0029035405647035687
