timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,NL,s2001,solar,avaConv,0.0
h0002,NL,s2001,solar,avaConv,0.0
h0003,NL,s2001,solar,avaConv,0.0
h0004,NL,s2001,solar,avaConv,0.0
h0005,NL,s2001,solar,avaConv,0.0
h0006,NL,s2001,solar,avaConv,0.0
h0007,NL,s2001,solar,avaConv,0.0
h0008,NL,s2001,solar,avaConv,-2.70906590180625e-6
h0009,NL,s2001,solar,avaConv,0.00349696682409602
h0010,NL,s2001,solar,avaConv,0.0126954381985835
h0011,NL,s2001,solar,avaConv,0.0323219265268274
h0012,NL,s2001,solar,avaConv,0.0663683067939437
h0013,NL,s2001,solar,avaConv,0.0552162727027253
h0014,NL,s2001,solar,avaConv,0.0304969326613169
h0015,NL,s2001,solar,avaConv,0.0188463628102253
h0016,NL,s2001,solar,avaConv,0.00243226454797266
h0017,NL,s2001,solar,avaConv,0.0
h0018,NL,s2001,solar,avaConv,0.0
h0019,NL,s2001,solar,avaConv,0.0
h0020,NL,s2001,solar,avaConv,0.0
h0021,NL,s2001,solar,avaConv,0.0
h0022,NL,s2001,solar,avaConv,0.0
h0023,NL,s2001,solar,avaConv,0.0
h0024,NL,s2001,solar,avaConv,0.0
h0025,NL,s2001,solar,avaConv,0.0
h0026,NL,s2001,solar,avaConv,0.0
h0027,NL,s2001,solar,avaConv,0.0
h0028,NL,s2001,solar,avaConv,0.0
h0029,NL,s2001,solar,avaConv,0.0
h0030,NL,s2001,solar,avaConv,0.0
h0031,NL,s2001,solar,avaConv,0.0
h0032,NL,s2001,solar,avaConv,6.86069587855119e-5
h0033,NL,s2001,solar,avaConv,0.0230787623364509
h0034,NL,s2001,solar,avaConv,0.0868333410716098
h0035,NL,s2001,solar,avaConv,0.159769242353751
h0036,NL,s2001,solar,avaConv,0.18984785543375
h0037,NL,s2001,solar,avaConv,0.159667977441959
h0038,NL,s2001,solar,avaConv,0.088662798523968
h0039,NL,s2001,solar,avaConv,0.027644985459923
h0040,NL,s2001,solar,avaConv,0.00118547718524503
h0041,NL,s2001,solar,avaConv,0.0
h0042,NL,s2001,solar,avaConv,0.0
h0043,NL,s2001,solar,avaConv,0.0
h0044,NL,s2001,solar,avaConv,0.0
h0045,NL,s2001,solar,avaConv,0.0
h0046,NL,s2001,solar,avaConv,0.0
h0047,NL,s2001,solar,avaConv,0.0
h0048,NL,s2001,solar,avaConv,0.0
h0049,NL,s2001,solar,avaConv,0.0
h0050,NL,s2001,solar,avaConv,0.0
h0051,NL,s2001,solar,avaConv,0.0
h0052,NL,s2001,solar,avaConv,0.0
h0053,NL,s2001,solar,avaConv,0.0
h0054,NL,s2001,solar,avaConv,0.0
h0055,NL,s2001,solar,avaConv,0.0
h0056,NL,s2001,solar,avaConv,5.90158779987968e-5
h0057,NL,s2001,solar,avaConv,0.0250736251669135
h0058,NL,s2001,solar,avaConv,0.0953916741696917
h0059,NL,s2001,solar,avaConv,0.166310103020417
h0060,NL,s2001,solar,avaConv,0.203270769718841
h0061,NL,s2001,solar,avaConv,0.190483347813645
h0062,NL,s2001,solar,avaConv,0.137596235694198
h0063,NL,s2001,solar,avaConv,0.0633489553450441
h0064,NL,s2001,solar,avaConv,0.00382672256633345
h0065,NL,s2001,solar,avaConv,0.0
h0066,NL,s2001,solar,avaConv,0.0
h0067,NL,s2001,solar,avaConv,0.0
h0068,NL,s2001,solar,avaConv,0.0
h0069,NL,s2001,solar,avaConv,0.0
h0070,NL,s2001,solar,avaConv,0.0
h0071,NL,s2001,solar,avaConv,0.0
h0072,NL,s2001,solar,avaConv,0.0
h0073,NL,s2001,solar,avaConv,0.0
h0074,NL,s2001,solar,avaConv,0.0
h0075,NL,s2001,solar,avaConv,0.0
h0076,NL,s2001,solar,avaConv,0.0
h0077,NL,s2001,solar,avaConv,0.0
h0078,NL,s2001,solar,avaConv,0.0
h0079,NL,s2001,solar,avaConv,0.0
h0080,NL,s2001,solar,avaConv,3.0903027929684e-5
h0081,NL,s2001,solar,avaConv,0.00874241708857523
h0082,NL,s2001,solar,avaConv,0.0243009018891401
h0083,NL,s2001,solar,avaConv,0.0381990948558812
h0084,NL,s2001,solar,avaConv,0.0412096017254838
h0085,NL,s2001,solar,avaConv,0.0324607327835641
h0086,NL,s2001,solar,avaConv,0.0264724086539141
h0087,NL,s2001,solar,avaConv,0.0164203915142739
h0088,NL,s2001,solar,avaConv,0.00154815309428838
h0089,NL,s2001,solar,avaConv,0.0
h0090,NL,s2001,solar,avaConv,0.0
h0091,NL,s2001,solar,avaConv,0.0
h0092,NL,s2001,solar,avaConv,0.0
h0093,NL,s2001,solar,avaConv,0.0
h0094,NL,s2001,solar,avaConv,0.0
h0095,NL,s2001,solar,avaConv,0.0
h0096,NL,s2001,solar,avaConv,0.0
h0097,NL,s2001,solar,avaConv,0.0
h0098,NL,s2001,solar,avaConv,0.0
h0099,NL,s2001,solar,avaConv,0.0
h0100,NL,s2001,solar,avaConv,0.0
h0101,NL,s2001,solar,avaConv,0.0
h0102,NL,s2001,solar,avaConv,0.0
h0103,NL,s2001,solar,avaConv,0.0
h0104,NL,s2001,solar,avaConv,3.90384392065505e-6
h0105,NL,s2001,solar,avaConv,0.00493430630630268
h0106,NL,s2001,solar,avaConv,0.0135291355544936
h0107,NL,s2001,solar,avaConv,0.0179848206500248
h0108,NL,s2001,solar,avaConv,0.0206451384212332
h0109,NL,s2001,solar,avaConv,0.0275299873291514
h0110,NL,s2001,solar,avaConv,0.0274551204675055
h0111,NL,s2001,solar,avaConv,0.0128946807567425
h0112,NL,s2001,solar,avaConv,0.000905282483649826
h0113,NL,s2001,solar,avaConv,0.0
h0114,NL,s2001,solar,avaConv,0.0
h0115,NL,s2001,solar,avaConv,0.0
h0116,NL,s2001,solar,avaConv,0.0
h0117,NL,s2001,solar,avaConv,0.0
h0118,NL,s2001,solar,avaConv,0.0
h0119,NL,s2001,solar,avaConv,0.0
h0120,NL,s2001,solar,avaConv,0.0
h0121,NL,s2001,solar,avaConv,0.0
h0122,NL,s2001,solar,avaConv,0.0
h0123,NL,s2001,solar,avaConv,0.0
h0124,NL,s2001,solar,avaConv,0.0
h0125,NL,s2001,solar,avaConv,0.0
h0126,NL,s2001,solar,avaConv,0.0
h0127,NL,s2001,solar,avaConv,0.0
h0128,NL,s2001,solar,avaConv,0.000105107859661805
h0129,NL,s2001,solar,avaConv,0.0229591733043176
h0130,NL,s2001,solar,avaConv,0.0716083574013396
h0131,NL,s2001,solar,avaConv,0.120671035951813
h0132,NL,s2001,solar,avaConv,0.169079138404114
h0133,NL,s2001,solar,avaConv,0.181704737326369
h0134,NL,s2001,solar,avaConv,0.139116742278425
h0135,NL,s2001,solar,avaConv,0.0647525577268798
