timestep_3,region_1,scenario_1,technology_1,parameter,value
h0118,NL,s1996,wind,avaConv,0.85017185630567
h0119,NL,s1996,wind,avaConv,0.847974688082767
h0120,NL,s1996,wind,avaConv,0.848636896260486
h0121,NL,s1996,wind,avaConv,0.848739866918693
h0122,NL,s1996,wind,avaConv,0.843362892685531
h0123,NL,s1996,wind,avaConv,0.837316798906241
h0124,NL,s1996,wind,avaConv,0.822478355216675
h0125,NL,s1996,wind,avaConv,0.832563274759337
h0126,NL,s1996,wind,avaConv,0.842192897315151
h0127,NL,s1996,wind,avaConv,0.850214979379295
h0128,NL,s1996,wind,avaConv,0.850831084538643
h0129,NL,s1996,wind,avaConv,0.863130867437746
h0130,NL,s1996,wind,avaConv,0.869229575778866
h0131,NL,s1996,wind,avaConv,0.839972407509042
h0132,NL,s1996,wind,avaConv,0.824879129239869
h0133,NL,s1996,wind,avaConv,0.821755974985364
h0134,NL,s1996,wind,avaConv,0.832277527659012
h0135,NL,s1996,wind,avaConv,0.835754472207874
h0136,NL,s1996,wind,avaConv,0.848274329086651
h0137,NL,s1996,wind,avaConv,0.862558560768668
h0138,NL,s1996,wind,avaConv,0.868461458647593
h0139,NL,s1996,wind,avaConv,0.812235763313217
h0140,NL,s1996,wind,avaConv,0.804870717072698
h0141,NL,s1996,wind,avaConv,0.811932257248333
h0142,NL,s1996,wind,avaConv,0.881731588997758
h0143,NL,s1996,wind,avaConv,0.938688780842197
h0144,NL,s1996,wind,avaConv,0.938557803278704
h0145,NL,s1996,wind,avaConv,0.9416318199872
h0146,NL,s1996,wind,avaConv,0.930755595402144
h0147,NL,s1996,wind,avaConv,0.913377793196913
h0148,NL,s1996,wind,avaConv,0.867842416625715
h0149,NL,s1996,wind,avaConv,0.881529241435728
h0150,NL,s1996,wind,avaConv,0.874301620517324
h0151,NL,s1996,wind,avaConv,0.840607983292897
h0152,NL,s1996,wind,avaConv,0.79449997765444
h0153,NL,s1996,wind,avaConv,0.782264201127157
h0154,NL,s1996,wind,avaConv,0.837372667199584
h0155,NL,s1996,wind,avaConv,0.862278309917428
h0156,NL,s1996,wind,avaConv,0.886061922488018
h0157,NL,s1996,wind,avaConv,0.866189045812806
h0158,NL,s1996,wind,avaConv,0.814305865142593
h0159,NL,s1996,wind,avaConv,0.765607331048238
h0160,NL,s1996,wind,avaConv,0.770783636093832
h0161,NL,s1996,wind,avaConv,0.827981062765658
h0162,NL,s1996,wind,avaConv,0.865422392224309
h0163,NL,s1996,wind,avaConv,0.876951083985065
h0164,NL,s1996,wind,avaConv,0.857993563645799
h0165,NL,s1996,wind,avaConv,0.850179292467365
h0166,NL,s1996,wind,avaConv,0.748966951382341
h0167,NL,s1996,wind,avaConv,0.670099571718498
h0168,NL,s1996,wind,avaConv,0.538382004640403
h0169,NL,s1996,wind,avaConv,0.464270449950077
h0170,NL,s1996,wind,avaConv,0.43733398412764
h0171,NL,s1996,wind,avaConv,0.428553165592517
h0172,NL,s1996,wind,avaConv,0.426408123853965
h0173,NL,s1996,wind,avaConv,0.449560135665221
h0174,NL,s1996,wind,avaConv,0.484106432180004
h0175,NL,s1996,wind,avaConv,0.517220355897977
h0176,NL,s1996,wind,avaConv,0.570988528115202
h0177,NL,s1996,wind,avaConv,0.688063831198028
h0178,NL,s1996,wind,avaConv,0.779550207968434
h0179,NL,s1996,wind,avaConv,0.81824337042226
h0180,NL,s1996,wind,avaConv,0.815507061212657
h0181,NL,s1996,wind,avaConv,0.783279983105625
h0182,NL,s1996,wind,avaConv,0.745442830007721
h0183,NL,s1996,wind,avaConv,0.731241936707299
h0184,NL,s1996,wind,avaConv,0.794209073272531
h0185,NL,s1996,wind,avaConv,0.892710037311966
h0186,NL,s1996,wind,avaConv,0.93431013230456
h0187,NL,s1996,wind,avaConv,0.956162322157052
h0188,NL,s1996,wind,avaConv,0.968125680097752
h0189,NL,s1996,wind,avaConv,0.978552945769844
h0190,NL,s1996,wind,avaConv,0.986416951007728
h0191,NL,s1996,wind,avaConv,0.98773240626296
h0192,NL,s1996,wind,avaConv,0.98765488614955
h0193,NL,s1996,wind,avaConv,0.981669937092482
h0194,NL,s1996,wind,avaConv,0.978119174650121
h0195,NL,s1996,wind,avaConv,0.985605999622716
h0196,NL,s1996,wind,avaConv,0.990176316107587
h0197,NL,s1996,wind,avaConv,0.992849954354087
h0198,NL,s1996,wind,avaConv,0.994375079705833
h0199,NL,s1996,wind,avaConv,0.991743833606045
h0200,NL,s1996,wind,avaConv,0.98528216287049
h0201,NL,s1996,wind,avaConv,0.978266178195364
h0202,NL,s1996,wind,avaConv,0.969179871974935
h0203,NL,s1996,wind,avaConv,0.962719920817067
h0204,NL,s1996,wind,avaConv,0.967836239649903
h0205,NL,s1996,wind,avaConv,0.943553997420358
h0206,NL,s1996,wind,avaConv,0.911095311691446
h0207,NL,s1996,wind,avaConv,0.827726264540373
h0208,NL,s1996,wind,avaConv,0.760878921239452
h0209,NL,s1996,wind,avaConv,0.650688506422664
h0210,NL,s1996,wind,avaConv,0.511144982902915
h0211,NL,s1996,wind,avaConv,0.491074657580305
h0212,NL,s1996,wind,avaConv,0.466147635900136
h0213,NL,s1996,wind,avaConv,0.428267204609709
h0214,NL,s1996,wind,avaConv,0.404078994405927
h0215,NL,s1996,wind,avaConv,0.351814821463157
h0216,NL,s1996,wind,avaConv,0.307178394805175
h0217,NL,s1996,wind,avaConv,0.248471671303056
h0218,NL,s1996,wind,avaConv,0.176890200615248
h0219,NL,s1996,wind,avaConv,0.115814018069422
