timestep_2,region_4,technology_3,carrier_1,parameter,value
2040,26FR,bioPlantStock,,capaConvResi,0.61
2045,26FR,bioPlantStock,,capaConvResi,0.51
2050,26FR,bioPlantStock,,capaConvResi,0.38
2020,27FR,bioPlantStock,,capaConvResi,0.07
2025,27FR,bioPlantStock,,capaConvResi,0.07
2030,27FR,bioPlantStock,,capaConvResi,0.07
2035,27FR,bioPlantStock,,capaConvResi,0.07
2040,27FR,bioPlantStock,,capaConvResi,0.07
2045,27FR,bioPlantStock,,capaConvResi,0.06
2050,27FR,bioPlantStock,,capaConvResi,0.04
2020,68GR,bioPlantStock,,capaConvResi,0.07
2025,68GR,bioPlantStock,,capaConvResi,0.07
2030,68GR,bioPlantStock,,capaConvResi,0.07
2035,68GR,bioPlantStock,,capaConvResi,0.07
2040,68GR,bioPlantStock,,capaConvResi,0.07
2045,68GR,bioPlantStock,,capaConvResi,0.03
2020,69GR,bioPlantStock,,capaConvResi,0.7
2025,69GR,bioPlantStock,,capaConvResi,0.7
2030,69GR,bioPlantStock,,capaConvResi,0.7
2035,69GR,bioPlantStock,,capaConvResi,0.7
2040,69GR,bioPlantStock,,capaConvResi,0.69
2045,69GR,bioPlantStock,,capaConvResi,0.26
2050,69GR,bioPlantStock,,capaConvResi,0.03
2020,62HR,bioPlantStock,,capaConvResi,0.59
2025,62HR,bioPlantStock,,capaConvResi,0.59
2030,62HR,bioPlantStock,,capaConvResi,0.59
2035,62HR,bioPlantStock,,capaConvResi,0.59
2040,62HR,bioPlantStock,,capaConvResi,0.59
2045,62HR,bioPlantStock,,capaConvResi,0.5
2050,62HR,bioPlantStock,,capaConvResi,0.41
2020,58HU,bioPlantStock,,capaConvResi,0.8
2025,58HU,bioPlantStock,,capaConvResi,0.8
2030,58HU,bioPlantStock,,capaConvResi,0.8
2035,58HU,bioPlantStock,,capaConvResi,0.8
2040,58HU,bioPlantStock,,capaConvResi,0.79
2045,58HU,bioPlantStock,,capaConvResi,0.46
2050,58HU,bioPlantStock,,capaConvResi,0.25
2020,96IE,bioPlantStock,,capaConvResi,0.11
2025,96IE,bioPlantStock,,capaConvResi,0.11
2030,96IE,bioPlantStock,,capaConvResi,0.11
2035,96IE,bioPlantStock,,capaConvResi,0.11
2040,96IE,bioPlantStock,,capaConvResi,0.07
2020,52IT,bioPlantStock,,capaConvResi,6.18
2025,52IT,bioPlantStock,,capaConvResi,6.17
2030,52IT,bioPlantStock,,capaConvResi,6.16
2035,52IT,bioPlantStock,,capaConvResi,6.04
2040,52IT,bioPlantStock,,capaConvResi,5.66
2045,52IT,bioPlantStock,,capaConvResi,4.34
2050,52IT,bioPlantStock,,capaConvResi,0.94
2020,53IT,bioPlantStock,,capaConvResi,3.82
2025,53IT,bioPlantStock,,capaConvResi,3.82
2030,53IT,bioPlantStock,,capaConvResi,3.81
2035,53IT,bioPlantStock,,capaConvResi,3.74
2040,53IT,bioPlantStock,,capaConvResi,3.5
2045,53IT,bioPlantStock,,capaConvResi,2.68
2050,53IT,bioPlantStock,,capaConvResi,0.58
2020,54IT,bioPlantStock,,capaConvResi,1.15
2025,54IT,bioPlantStock,,capaConvResi,1.15
2030,54IT,bioPlantStock,,capaConvResi,1.15
2035,54IT,bioPlantStock,,capaConvResi,1.12
2040,54IT,bioPlantStock,,capaConvResi,1.05
2045,54IT,bioPlantStock,,capaConvResi,0.8
2050,54IT,bioPlantStock,,capaConvResi,0.17
2020,55IT,bioPlantStock,,capaConvResi,1.71
2025,55IT,bioPlantStock,,capaConvResi,1.7
2030,55IT,bioPlantStock,,capaConvResi,1.7
2035,55IT,bioPlantStock,,capaConvResi,1.67
2040,55IT,bioPlantStock,,capaConvResi,1.56
2045,55IT,bioPlantStock,,capaConvResi,1.2
2050,55IT,bioPlantStock,,capaConvResi,0.26
2020,56IT,bioPlantStock,,capaConvResi,0.28
2025,56IT,bioPlantStock,,capaConvResi,0.28
2030,56IT,bioPlantStock,,capaConvResi,0.28
2035,56IT,bioPlantStock,,capaConvResi,0.27
2040,56IT,bioPlantStock,,capaConvResi,0.25
2045,56IT,bioPlantStock,,capaConvResi,0.19
2050,56IT,bioPlantStock,,capaConvResi,0.04
2020,98IT,bioPlantStock,,capaConvResi,0.32
2025,98IT,bioPlantStock,,capaConvResi,0.32
2030,98IT,bioPlantStock,,capaConvResi,0.32
2035,98IT,bioPlantStock,,capaConvResi,0.31
2040,98IT,bioPlantStock,,capaConvResi,0.29
2045,98IT,bioPlantStock,,capaConvResi,0.22
2050,98IT,bioPlantStock,,capaConvResi,0.05
2020,77LT,bioPlantStock,,capaConvResi,0.36
2025,77LT,bioPlantStock,,capaConvResi,0.36
2030,77LT,bioPlantStock,,capaConvResi,0.36
2035,77LT,bioPlantStock,,capaConvResi,0.36
2040,77LT,bioPlantStock,,capaConvResi,0.36
2045,77LT,bioPlantStock,,capaConvResi,0.35
2050,77LT,bioPlantStock,,capaConvResi,0.11
2020,29LU,bioPlantStock,,capaConvResi,0.1
2025,29LU,bioPlantStock,,capaConvResi,0.1
2030,29LU,bioPlantStock,,capaConvResi,0.1
2035,29LU,bioPlantStock,,capaConvResi,0.1
2040,29LU,bioPlantStock,,capaConvResi,0.07
2045,29LU,bioPlantStock,,capaConvResi,0.06
2050,29LU,bioPlantStock,,capaConvResi,0.06
2020,78LV,bioPlantStock,,capaConvResi,0.45
2025,78LV,bioPlantStock,,capaConvResi,0.45
2030,78LV,bioPlantStock,,capaConvResi,0.45
2035,78LV,bioPlantStock,,capaConvResi,0.45
2040,78LV,bioPlantStock,,capaConvResi,0.42
2045,78LV,bioPlantStock,,capaConvResi,0.37
2050,78LV,bioPlantStock,,capaConvResi,0.37
2020,64ME,bioPlantStock,,capaConvResi,0.08
2020,67MK,bioPlantStock,,capaConvResi,0.06
2025,67MK,bioPlantStock,,capaConvResi,0.05
2030,67MK,bioPlantStock,,capaConvResi,0.04
2035,67MK,bioPlantStock,,capaConvResi,0.02
2040,67MK,bioPlantStock,,capaConvResi,0.01
2020,30NL,bioPlantStock,,capaConvResi,1.05
2025,30NL,bioPlantStock,,capaConvResi,1.05
2030,30NL,bioPlantStock,,capaConvResi,1.03
2035,30NL,bioPlantStock,,capaConvResi,0.93
2040,30NL,bioPlantStock,,capaConvResi,0.8
2045,30NL,bioPlantStock,,capaConvResi,0.75
2050,30NL,bioPlantStock,,capaConvResi,0.22
2020,43PL,bioPlantStock,,capaConvResi,0.77
2025,43PL,bioPlantStock,,capaConvResi,0.77
2030,43PL,bioPlantStock,,capaConvResi,0.77
2035,43PL,bioPlantStock,,capaConvResi,0.77
2040,43PL,bioPlantStock,,capaConvResi,0.65
2045,43PL,bioPlantStock,,capaConvResi,0.63
2050,43PL,bioPlantStock,,capaConvResi,0.55
2020,44PL,bioPlantStock,,capaConvResi,0.26
2025,44PL,bioPlantStock,,capaConvResi,0.26
2030,44PL,bioPlantStock,,capaConvResi,0.26
2035,44PL,bioPlantStock,,capaConvResi,0.26
2040,44PL,bioPlantStock,,capaConvResi,0.22
2045,44PL,bioPlantStock,,capaConvResi,0.21
2050,44PL,bioPlantStock,,capaConvResi,0.18
2020,45PL,bioPlantStock,,capaConvResi,0.22
2025,45PL,bioPlantStock,,capaConvResi,0.22
2030,45PL,bioPlantStock,,capaConvResi,0.22
2035,45PL,bioPlantStock,,capaConvResi,0.22
2040,45PL,bioPlantStock,,capaConvResi,0.19
2045,45PL,bioPlantStock,,capaConvResi,0.18
2050,45PL,bioPlantStock,,capaConvResi,0.16
2020,12PT,bioPlantStock,,capaConvResi,0.12
2025,12PT,bioPlantStock,,capaConvResi,0.12
2030,12PT,bioPlantStock,,capaConvResi,0.09
2035,12PT,bioPlantStock,,capaConvResi,0.09
2040,12PT,bioPlantStock,,capaConvResi,0.08
2045,12PT,bioPlantStock,,capaConvResi,0.07
2020,13PT,bioPlantStock,,capaConvResi,1.06
2025,13PT,bioPlantStock,,capaConvResi,1.06
2030,13PT,bioPlantStock,,capaConvResi,0.81
2035,13PT,bioPlantStock,,capaConvResi,0.8
2040,13PT,bioPlantStock,,capaConvResi,0.72
2045,13PT,bioPlantStock,,capaConvResi,0.63
2020,59RO,bioPlantStock,,capaConvResi,0.01
