timestep_2,region_4,technology_3,carrier_1,parameter,value
2035,34DE,gasPlantStock_b,,capaConvResi,0.44
2040,34DE,gasPlantStock_b,,capaConvResi,0.4
2045,34DE,gasPlantStock_b,,capaConvResi,0.31
2050,34DE,gasPlantStock_b,,capaConvResi,0.22
2020,35DE,gasPlantStock_b,,capaConvResi,1.72
2025,35DE,gasPlantStock_b,,capaConvResi,1.24
2030,35DE,gasPlantStock_b,,capaConvResi,1.15
2035,35DE,gasPlantStock_b,,capaConvResi,1.13
2040,35DE,gasPlantStock_b,,capaConvResi,1.04
2045,35DE,gasPlantStock_b,,capaConvResi,0.8
2050,35DE,gasPlantStock_b,,capaConvResi,0.57
2020,36DE,gasPlantStock_b,,capaConvResi,0.29
2025,36DE,gasPlantStock_b,,capaConvResi,0.21
2030,36DE,gasPlantStock_b,,capaConvResi,0.19
2035,36DE,gasPlantStock_b,,capaConvResi,0.19
2040,36DE,gasPlantStock_b,,capaConvResi,0.18
2045,36DE,gasPlantStock_b,,capaConvResi,0.13
2050,36DE,gasPlantStock_b,,capaConvResi,0.09
2020,37DE,gasPlantStock_b,,capaConvResi,0.29
2025,37DE,gasPlantStock_b,,capaConvResi,0.21
2030,37DE,gasPlantStock_b,,capaConvResi,0.19
2035,37DE,gasPlantStock_b,,capaConvResi,0.19
2040,37DE,gasPlantStock_b,,capaConvResi,0.17
2045,37DE,gasPlantStock_b,,capaConvResi,0.13
2050,37DE,gasPlantStock_b,,capaConvResi,0.09
2020,01ES,gasPlantStock_b,,capaConvResi,0.64
2025,01ES,gasPlantStock_b,,capaConvResi,0.64
2030,01ES,gasPlantStock_b,,capaConvResi,0.6
2035,01ES,gasPlantStock_b,,capaConvResi,0.43
2040,01ES,gasPlantStock_b,,capaConvResi,0.23
2045,01ES,gasPlantStock_b,,capaConvResi,0.09
2050,01ES,gasPlantStock_b,,capaConvResi,0.03
2020,02ES,gasPlantStock_b,,capaConvResi,0.01
2025,02ES,gasPlantStock_b,,capaConvResi,0.01
2030,02ES,gasPlantStock_b,,capaConvResi,0.01
2035,02ES,gasPlantStock_b,,capaConvResi,0.01
2020,03ES,gasPlantStock_b,,capaConvResi,0.06
2025,03ES,gasPlantStock_b,,capaConvResi,0.06
2030,03ES,gasPlantStock_b,,capaConvResi,0.06
2035,03ES,gasPlantStock_b,,capaConvResi,0.04
2040,03ES,gasPlantStock_b,,capaConvResi,0.02
2020,04ES,gasPlantStock_b,,capaConvResi,0.35
2025,04ES,gasPlantStock_b,,capaConvResi,0.35
2030,04ES,gasPlantStock_b,,capaConvResi,0.33
2035,04ES,gasPlantStock_b,,capaConvResi,0.24
2040,04ES,gasPlantStock_b,,capaConvResi,0.12
2045,04ES,gasPlantStock_b,,capaConvResi,0.05
2050,04ES,gasPlantStock_b,,capaConvResi,0.01
2020,05ES,gasPlantStock_b,,capaConvResi,0.68
2025,05ES,gasPlantStock_b,,capaConvResi,0.68
2030,05ES,gasPlantStock_b,,capaConvResi,0.64
2035,05ES,gasPlantStock_b,,capaConvResi,0.47
2040,05ES,gasPlantStock_b,,capaConvResi,0.24
2045,05ES,gasPlantStock_b,,capaConvResi,0.09
2050,05ES,gasPlantStock_b,,capaConvResi,0.03
2020,06ES,gasPlantStock_b,,capaConvResi,0.42
2025,06ES,gasPlantStock_b,,capaConvResi,0.42
2030,06ES,gasPlantStock_b,,capaConvResi,0.39
2035,06ES,gasPlantStock_b,,capaConvResi,0.28
2040,06ES,gasPlantStock_b,,capaConvResi,0.15
2045,06ES,gasPlantStock_b,,capaConvResi,0.05
2050,06ES,gasPlantStock_b,,capaConvResi,0.02
2020,07ES,gasPlantStock_b,,capaConvResi,0.24
2025,07ES,gasPlantStock_b,,capaConvResi,0.24
2030,07ES,gasPlantStock_b,,capaConvResi,0.23
2035,07ES,gasPlantStock_b,,capaConvResi,0.16
2040,07ES,gasPlantStock_b,,capaConvResi,0.08
2045,07ES,gasPlantStock_b,,capaConvResi,0.03
2050,07ES,gasPlantStock_b,,capaConvResi,0.01
2020,08ES,gasPlantStock_b,,capaConvResi,0.7
2025,08ES,gasPlantStock_b,,capaConvResi,0.7
2030,08ES,gasPlantStock_b,,capaConvResi,0.66
2035,08ES,gasPlantStock_b,,capaConvResi,0.48
2040,08ES,gasPlantStock_b,,capaConvResi,0.25
2045,08ES,gasPlantStock_b,,capaConvResi,0.09
2050,08ES,gasPlantStock_b,,capaConvResi,0.03
2020,09ES,gasPlantStock_b,,capaConvResi,1.79
2025,09ES,gasPlantStock_b,,capaConvResi,1.78
2030,09ES,gasPlantStock_b,,capaConvResi,1.69
2035,09ES,gasPlantStock_b,,capaConvResi,1.22
2040,09ES,gasPlantStock_b,,capaConvResi,0.64
2045,09ES,gasPlantStock_b,,capaConvResi,0.25
2050,09ES,gasPlantStock_b,,capaConvResi,0.08
2020,10ES,gasPlantStock_b,,capaConvResi,1.73
2025,10ES,gasPlantStock_b,,capaConvResi,1.73
2030,10ES,gasPlantStock_b,,capaConvResi,1.63
2035,10ES,gasPlantStock_b,,capaConvResi,1.18
2040,10ES,gasPlantStock_b,,capaConvResi,0.62
2045,10ES,gasPlantStock_b,,capaConvResi,0.24
2050,10ES,gasPlantStock_b,,capaConvResi,0.08
2020,11ES,gasPlantStock_b,,capaConvResi,0.61
2025,11ES,gasPlantStock_b,,capaConvResi,0.61
2030,11ES,gasPlantStock_b,,capaConvResi,0.57
2035,11ES,gasPlantStock_b,,capaConvResi,0.41
2040,11ES,gasPlantStock_b,,capaConvResi,0.22
2045,11ES,gasPlantStock_b,,capaConvResi,0.08
2050,11ES,gasPlantStock_b,,capaConvResi,0.03
2020,74FI,gasPlantStock_b,,capaConvResi,0.03
2025,74FI,gasPlantStock_b,,capaConvResi,0.03
2030,74FI,gasPlantStock_b,,capaConvResi,0.02
2035,74FI,gasPlantStock_b,,capaConvResi,0.01
2020,14FR,gasPlantStock_b,,capaConvResi,0.2
2025,14FR,gasPlantStock_b,,capaConvResi,0.2
2030,14FR,gasPlantStock_b,,capaConvResi,0.19
2035,14FR,gasPlantStock_b,,capaConvResi,0.16
2040,14FR,gasPlantStock_b,,capaConvResi,0.09
2020,18FR,gasPlantStock_b,,capaConvResi,0.3
2025,18FR,gasPlantStock_b,,capaConvResi,0.3
2030,18FR,gasPlantStock_b,,capaConvResi,0.29
2035,18FR,gasPlantStock_b,,capaConvResi,0.24
2040,18FR,gasPlantStock_b,,capaConvResi,0.14
2045,18FR,gasPlantStock_b,,capaConvResi,0.01
2020,20FR,gasPlantStock_b,,capaConvResi,0.05
2025,20FR,gasPlantStock_b,,capaConvResi,0.04
2030,20FR,gasPlantStock_b,,capaConvResi,0.04
2035,20FR,gasPlantStock_b,,capaConvResi,0.03
2040,20FR,gasPlantStock_b,,capaConvResi,0.02
2020,22FR,gasPlantStock_b,,capaConvResi,0.06
2025,22FR,gasPlantStock_b,,capaConvResi,0.06
2030,22FR,gasPlantStock_b,,capaConvResi,0.06
2035,22FR,gasPlantStock_b,,capaConvResi,0.05
2040,22FR,gasPlantStock_b,,capaConvResi,0.03
2020,23FR,gasPlantStock_b,,capaConvResi,0.1
2025,23FR,gasPlantStock_b,,capaConvResi,0.1
2030,23FR,gasPlantStock_b,,capaConvResi,0.1
2035,23FR,gasPlantStock_b,,capaConvResi,0.08
2040,23FR,gasPlantStock_b,,capaConvResi,0.05
2020,24FR,gasPlantStock_b,,capaConvResi,0.23
2025,24FR,gasPlantStock_b,,capaConvResi,0.23
2030,24FR,gasPlantStock_b,,capaConvResi,0.22
2035,24FR,gasPlantStock_b,,capaConvResi,0.18
2040,24FR,gasPlantStock_b,,capaConvResi,0.11
2045,24FR,gasPlantStock_b,,capaConvResi,0.01
2020,25FR,gasPlantStock_b,,capaConvResi,0.26
2025,25FR,gasPlantStock_b,,capaConvResi,0.26
2030,25FR,gasPlantStock_b,,capaConvResi,0.25
2035,25FR,gasPlantStock_b,,capaConvResi,0.21
2040,25FR,gasPlantStock_b,,capaConvResi,0.12
2045,25FR,gasPlantStock_b,,capaConvResi,0.01
2020,26FR,gasPlantStock_b,,capaConvResi,0.89
2025,26FR,gasPlantStock_b,,capaConvResi,0.88
2030,26FR,gasPlantStock_b,,capaConvResi,0.86
2035,26FR,gasPlantStock_b,,capaConvResi,0.7
2040,26FR,gasPlantStock_b,,capaConvResi,0.42
2045,26FR,gasPlantStock_b,,capaConvResi,0.04
2050,26FR,gasPlantStock_b,,capaConvResi,0.01
2020,27FR,gasPlantStock_b,,capaConvResi,0.02
2025,27FR,gasPlantStock_b,,capaConvResi,0.02
2030,27FR,gasPlantStock_b,,capaConvResi,0.02
2035,27FR,gasPlantStock_b,,capaConvResi,0.02
2040,27FR,gasPlantStock_b,,capaConvResi,0.01
2020,99FR,gasPlantStock_b,,capaConvResi,0.14
2025,99FR,gasPlantStock_b,,capaConvResi,0.14
2030,99FR,gasPlantStock_b,,capaConvResi,0.14
2035,99FR,gasPlantStock_b,,capaConvResi,0.11
2040,99FR,gasPlantStock_b,,capaConvResi,0.07
2020,68GR,gasPlantStock_b,,capaConvResi,0.25
2025,68GR,gasPlantStock_b,,capaConvResi,0.23
2030,68GR,gasPlantStock_b,,capaConvResi,0.23
2035,68GR,gasPlantStock_b,,capaConvResi,0.23
2040,68GR,gasPlantStock_b,,capaConvResi,0.23
2045,68GR,gasPlantStock_b,,capaConvResi,0.03
2020,69GR,gasPlantStock_b,,capaConvResi,2.2
2025,69GR,gasPlantStock_b,,capaConvResi,2.03
2030,69GR,gasPlantStock_b,,capaConvResi,2.03
2035,69GR,gasPlantStock_b,,capaConvResi,2.03
2040,69GR,gasPlantStock_b,,capaConvResi,1.98
2045,69GR,gasPlantStock_b,,capaConvResi,0.27
2020,62HR,gasPlantStock_b,,capaConvResi,0.58
2025,62HR,gasPlantStock_b,,capaConvResi,0.42
2030,62HR,gasPlantStock_b,,capaConvResi,0.42
2035,62HR,gasPlantStock_b,,capaConvResi,0.34
2040,62HR,gasPlantStock_b,,capaConvResi,0.02
2045,62HR,gasPlantStock_b,,capaConvResi,0.02
2020,58HU,gasPlantStock_b,,capaConvResi,0.98
2025,58HU,gasPlantStock_b,,capaConvResi,0.97
2030,58HU,gasPlantStock_b,,capaConvResi,0.96
2035,58HU,gasPlantStock_b,,capaConvResi,0.96
2040,58HU,gasPlantStock_b,,capaConvResi,0.75
2045,58HU,gasPlantStock_b,,capaConvResi,0.5
2050,58HU,gasPlantStock_b,,capaConvResi,0.33
2020,96IE,gasPlantStock_b,,capaConvResi,1.62
2025,96IE,gasPlantStock_b,,capaConvResi,0.66
2030,96IE,gasPlantStock_b,,capaConvResi,0.66
2035,96IE,gasPlantStock_b,,capaConvResi,0.65
2040,96IE,gasPlantStock_b,,capaConvResi,0.49
2045,96IE,gasPlantStock_b,,capaConvResi,0.03
2050,96IE,gasPlantStock_b,,capaConvResi,0.01
2020,52IT,gasPlantStock_b,,capaConvResi,6.38
2025,52IT,gasPlantStock_b,,capaConvResi,6.09
2030,52IT,gasPlantStock_b,,capaConvResi,5.57
2035,52IT,gasPlantStock_b,,capaConvResi,3.58
2040,52IT,gasPlantStock_b,,capaConvResi,1.21
2045,52IT,gasPlantStock_b,,capaConvResi,0.4
2050,52IT,gasPlantStock_b,,capaConvResi,0.05
2020,53IT,gasPlantStock_b,,capaConvResi,0.9
2025,53IT,gasPlantStock_b,,capaConvResi,0.86
2030,53IT,gasPlantStock_b,,capaConvResi,0.78
2035,53IT,gasPlantStock_b,,capaConvResi,0.5
2040,53IT,gasPlantStock_b,,capaConvResi,0.17
2045,53IT,gasPlantStock_b,,capaConvResi,0.05
2020,54IT,gasPlantStock_b,,capaConvResi,2.76
2025,54IT,gasPlantStock_b,,capaConvResi,2.64
2030,54IT,gasPlantStock_b,,capaConvResi,2.41
2035,54IT,gasPlantStock_b,,capaConvResi,1.55
2040,54IT,gasPlantStock_b,,capaConvResi,0.52
2045,54IT,gasPlantStock_b,,capaConvResi,0.17
2050,54IT,gasPlantStock_b,,capaConvResi,0.02
2020,55IT,gasPlantStock_b,,capaConvResi,3.54
2025,55IT,gasPlantStock_b,,capaConvResi,3.38
2030,55IT,gasPlantStock_b,,capaConvResi,3.08
2035,55IT,gasPlantStock_b,,capaConvResi,1.98
2040,55IT,gasPlantStock_b,,capaConvResi,0.67
2045,55IT,gasPlantStock_b,,capaConvResi,0.22
2050,55IT,gasPlantStock_b,,capaConvResi,0.02
2020,56IT,gasPlantStock_b,,capaConvResi,1.24
2025,56IT,gasPlantStock_b,,capaConvResi,1.18
2030,56IT,gasPlantStock_b,,capaConvResi,1.08
2035,56IT,gasPlantStock_b,,capaConvResi,0.69
2040,56IT,gasPlantStock_b,,capaConvResi,0.23
2045,56IT,gasPlantStock_b,,capaConvResi,0.07
2050,56IT,gasPlantStock_b,,capaConvResi,0.01
2020,98IT,gasPlantStock_b,,capaConvResi,0.53
2025,98IT,gasPlantStock_b,,capaConvResi,0.51
2030,98IT,gasPlantStock_b,,capaConvResi,0.46
2035,98IT,gasPlantStock_b,,capaConvResi,0.3
2040,98IT,gasPlantStock_b,,capaConvResi,0.1
2045,98IT,gasPlantStock_b,,capaConvResi,0.03
2020,77LT,gasPlantStock_b,,capaConvResi,0.65
2025,77LT,gasPlantStock_b,,capaConvResi,0.37
2030,77LT,gasPlantStock_b,,capaConvResi,0.09
2035,77LT,gasPlantStock_b,,capaConvResi,0.09
2040,77LT,gasPlantStock_b,,capaConvResi,0.05
2045,77LT,gasPlantStock_b,,capaConvResi,0.01
2020,78LV,gasPlantStock_b,,capaConvResi,0.45
2025,78LV,gasPlantStock_b,,capaConvResi,0.45
2030,78LV,gasPlantStock_b,,capaConvResi,0.45
2035,78LV,gasPlantStock_b,,capaConvResi,0.26
2040,78LV,gasPlantStock_b,,capaConvResi,0.2
2045,78LV,gasPlantStock_b,,capaConvResi,0.13
2020,30NL,gasPlantStock_b,,capaConvResi,1.47
2025,30NL,gasPlantStock_b,,capaConvResi,1.28
2030,30NL,gasPlantStock_b,,capaConvResi,0.79
2035,30NL,gasPlantStock_b,,capaConvResi,0.46
2040,30NL,gasPlantStock_b,,capaConvResi,0.37
2045,30NL,gasPlantStock_b,,capaConvResi,0.28
2020,79NO,gasPlantStock_b,,capaConvResi,0.18
2025,79NO,gasPlantStock_b,,capaConvResi,0.17
2030,79NO,gasPlantStock_b,,capaConvResi,0.16
2035,79NO,gasPlantStock_b,,capaConvResi,0.16
2040,79NO,gasPlantStock_b,,capaConvResi,0.16
2045,79NO,gasPlantStock_b,,capaConvResi,0.15
2020,82NO,gasPlantStock_b,,capaConvResi,0.1
2025,82NO,gasPlantStock_b,,capaConvResi,0.1
2030,82NO,gasPlantStock_b,,capaConvResi,0.09
2035,82NO,gasPlantStock_b,,capaConvResi,0.09
2040,82NO,gasPlantStock_b,,capaConvResi,0.09
2045,82NO,gasPlantStock_b,,capaConvResi,0.09
2020,83NO,gasPlantStock_b,,capaConvResi,0.35
2025,83NO,gasPlantStock_b,,capaConvResi,0.33
2030,83NO,gasPlantStock_b,,capaConvResi,0.31
2035,83NO,gasPlantStock_b,,capaConvResi,0.31
2040,83NO,gasPlantStock_b,,capaConvResi,0.31
2045,83NO,gasPlantStock_b,,capaConvResi,0.31
2020,12PT,gasPlantStock_b,,capaConvResi,0.46
2025,12PT,gasPlantStock_b,,capaConvResi,0.46
2030,12PT,gasPlantStock_b,,capaConvResi,0.46
2035,12PT,gasPlantStock_b,,capaConvResi,0.44
2040,12PT,gasPlantStock_b,,capaConvResi,0.36
2045,12PT,gasPlantStock_b,,capaConvResi,0.16
2020,13PT,gasPlantStock_b,,capaConvResi,1.09
2025,13PT,gasPlantStock_b,,capaConvResi,1.09
2030,13PT,gasPlantStock_b,,capaConvResi,1.08
2035,13PT,gasPlantStock_b,,capaConvResi,1.05
2040,13PT,gasPlantStock_b,,capaConvResi,0.84
2045,13PT,gasPlantStock_b,,capaConvResi,0.39
2050,13PT,gasPlantStock_b,,capaConvResi,0.01
2020,59RO,gasPlantStock_b,,capaConvResi,0.11
2025,59RO,gasPlantStock_b,,capaConvResi,0.07
2030,59RO,gasPlantStock_b,,capaConvResi,0.04
2035,59RO,gasPlantStock_b,,capaConvResi,0.03
2040,59RO,gasPlantStock_b,,capaConvResi,0.03
2045,59RO,gasPlantStock_b,,capaConvResi,0.03
2020,60RO,gasPlantStock_b,,capaConvResi,0.69
2025,60RO,gasPlantStock_b,,capaConvResi,0.44
2030,60RO,gasPlantStock_b,,capaConvResi,0.26
2035,60RO,gasPlantStock_b,,capaConvResi,0.2
2040,60RO,gasPlantStock_b,,capaConvResi,0.19
2045,60RO,gasPlantStock_b,,capaConvResi,0.18
2050,60RO,gasPlantStock_b,,capaConvResi,0.04
2020,61RO,gasPlantStock_b,,capaConvResi,0.35
2025,61RO,gasPlantStock_b,,capaConvResi,0.23
2030,61RO,gasPlantStock_b,,capaConvResi,0.13
2035,61RO,gasPlantStock_b,,capaConvResi,0.1
2040,61RO,gasPlantStock_b,,capaConvResi,0.1
2045,61RO,gasPlantStock_b,,capaConvResi,0.09
2050,61RO,gasPlantStock_b,,capaConvResi,0.02
2020,86SE,gasPlantStock_b,,capaConvResi,0.01
2025,86SE,gasPlantStock_b,,capaConvResi,0.01
2020,57SI,gasPlantStock_b,,capaConvResi,0.12
2025,57SI,gasPlantStock_b,,capaConvResi,0.12
2030,57SI,gasPlantStock_b,,capaConvResi,0.12
2035,57SI,gasPlantStock_b,,capaConvResi,0.12
2040,57SI,gasPlantStock_b,,capaConvResi,0.11
2045,57SI,gasPlantStock_b,,capaConvResi,0.03
2020,49AT,hardcoalPlantStock_a,,capaConvResi,0.29
2020,50AT,hardcoalPlantStock_a,,capaConvResi,0.51
2020,51AT,hardcoalPlantStock_a,,capaConvResi,0.52
2020,66BG,hardcoalPlantStock_a,,capaConvResi,0.34
2025,66BG,hardcoalPlantStock_a,,capaConvResi,0.21
2030,66BG,hardcoalPlantStock_a,,capaConvResi,0.21
2035,66BG,hardcoalPlantStock_a,,capaConvResi,0.07
2040,66BG,hardcoalPlantStock_a,,capaConvResi,0.07
2045,66BG,hardcoalPlantStock_a,,capaConvResi,0.07
2050,66BG,hardcoalPlantStock_a,,capaConvResi,0.07
2020,39CZ,hardcoalPlantStock_a,,capaConvResi,0.17
2025,39CZ,hardcoalPlantStock_a,,capaConvResi,0.13
2030,39CZ,hardcoalPlantStock_a,,capaConvResi,0.09
2035,39CZ,hardcoalPlantStock_a,,capaConvResi,0.08
2040,39CZ,hardcoalPlantStock_a,,capaConvResi,0.08
2045,39CZ,hardcoalPlantStock_a,,capaConvResi,0.08
2020,40CZ,hardcoalPlantStock_a,,capaConvResi,1.87
2025,40CZ,hardcoalPlantStock_a,,capaConvResi,1.42
2030,40CZ,hardcoalPlantStock_a,,capaConvResi,0.97
2035,40CZ,hardcoalPlantStock_a,,capaConvResi,0.89
2040,40CZ,hardcoalPlantStock_a,,capaConvResi,0.89
2045,40CZ,hardcoalPlantStock_a,,capaConvResi,0.89
2050,40CZ,hardcoalPlantStock_a,,capaConvResi,0.03
2020,31DE,hardcoalPlantStock_a,,capaConvResi,1.56
2025,31DE,hardcoalPlantStock_a,,capaConvResi,1.55
2030,31DE,hardcoalPlantStock_a,,capaConvResi,1.47
2035,31DE,hardcoalPlantStock_a,,capaConvResi,1.22
2040,31DE,hardcoalPlantStock_a,,capaConvResi,0.95
2045,31DE,hardcoalPlantStock_a,,capaConvResi,0.81
2050,31DE,hardcoalPlantStock_a,,capaConvResi,0.75
2020,32DE,hardcoalPlantStock_a,,capaConvResi,0.3
2025,32DE,hardcoalPlantStock_a,,capaConvResi,0.29
2030,32DE,hardcoalPlantStock_a,,capaConvResi,0.28
2035,32DE,hardcoalPlantStock_a,,capaConvResi,0.23
2040,32DE,hardcoalPlantStock_a,,capaConvResi,0.18
2045,32DE,hardcoalPlantStock_a,,capaConvResi,0.15
2050,32DE,hardcoalPlantStock_a,,capaConvResi,0.14
2020,33DE,hardcoalPlantStock_a,,capaConvResi,3.9
2025,33DE,hardcoalPlantStock_a,,capaConvResi,3.87
2030,33DE,hardcoalPlantStock_a,,capaConvResi,3.68
2035,33DE,hardcoalPlantStock_a,,capaConvResi,3.06
2040,33DE,hardcoalPlantStock_a,,capaConvResi,2.39
2045,33DE,hardcoalPlantStock_a,,capaConvResi,2.02
2050,33DE,hardcoalPlantStock_a,,capaConvResi,1.9
2020,35DE,hardcoalPlantStock_a,,capaConvResi,0.87
2025,35DE,hardcoalPlantStock_a,,capaConvResi,0.87
2030,35DE,hardcoalPlantStock_a,,capaConvResi,0.82
2035,35DE,hardcoalPlantStock_a,,capaConvResi,0.68
2040,35DE,hardcoalPlantStock_a,,capaConvResi,0.53
2045,35DE,hardcoalPlantStock_a,,capaConvResi,0.45
2050,35DE,hardcoalPlantStock_a,,capaConvResi,0.42
2020,36DE,hardcoalPlantStock_a,,capaConvResi,1.47
2025,36DE,hardcoalPlantStock_a,,capaConvResi,1.46
2030,36DE,hardcoalPlantStock_a,,capaConvResi,1.38
2035,36DE,hardcoalPlantStock_a,,capaConvResi,1.15
2040,36DE,hardcoalPlantStock_a,,capaConvResi,0.9
2045,36DE,hardcoalPlantStock_a,,capaConvResi,0.76
2050,36DE,hardcoalPlantStock_a,,capaConvResi,0.71
2020,37DE,hardcoalPlantStock_a,,capaConvResi,0.08
2025,37DE,hardcoalPlantStock_a,,capaConvResi,0.08
2030,37DE,hardcoalPlantStock_a,,capaConvResi,0.07
2035,37DE,hardcoalPlantStock_a,,capaConvResi,0.06
2040,37DE,hardcoalPlantStock_a,,capaConvResi,0.04
2045,37DE,hardcoalPlantStock_a,,capaConvResi,0.04
2050,37DE,hardcoalPlantStock_a,,capaConvResi,0.03
2020,38DK,hardcoalPlantStock_a,,capaConvResi,1.69
2025,38DK,hardcoalPlantStock_a,,capaConvResi,1.67
2020,72DK,hardcoalPlantStock_a,,capaConvResi,1.23
2025,72DK,hardcoalPlantStock_a,,capaConvResi,1.22
2020,02ES,hardcoalPlantStock_a,,capaConvResi,14.69
2025,02ES,hardcoalPlantStock_a,,capaConvResi,12.98
2030,02ES,hardcoalPlantStock_a,,capaConvResi,8.99
2035,02ES,hardcoalPlantStock_a,,capaConvResi,1.66
2040,02ES,hardcoalPlantStock_a,,capaConvResi,1.66
2045,02ES,hardcoalPlantStock_a,,capaConvResi,1.29
2020,03ES,hardcoalPlantStock_a,,capaConvResi,1.76
2025,03ES,hardcoalPlantStock_a,,capaConvResi,1.55
2030,03ES,hardcoalPlantStock_a,,capaConvResi,1.07
2035,03ES,hardcoalPlantStock_a,,capaConvResi,0.2
2040,03ES,hardcoalPlantStock_a,,capaConvResi,0.2
2045,03ES,hardcoalPlantStock_a,,capaConvResi,0.15
2020,09ES,hardcoalPlantStock_a,,capaConvResi,2.06
2025,09ES,hardcoalPlantStock_a,,capaConvResi,1.82
2030,09ES,hardcoalPlantStock_a,,capaConvResi,1.26
2035,09ES,hardcoalPlantStock_a,,capaConvResi,0.23
2040,09ES,hardcoalPlantStock_a,,capaConvResi,0.23
2045,09ES,hardcoalPlantStock_a,,capaConvResi,0.18
2020,10ES,hardcoalPlantStock_a,,capaConvResi,5.15
2025,10ES,hardcoalPlantStock_a,,capaConvResi,4.55
2030,10ES,hardcoalPlantStock_a,,capaConvResi,3.15
2035,10ES,hardcoalPlantStock_a,,capaConvResi,0.58
2040,10ES,hardcoalPlantStock_a,,capaConvResi,0.58
2045,10ES,hardcoalPlantStock_a,,capaConvResi,0.45
2020,74FI,hardcoalPlantStock_a,,capaConvResi,1.49
2025,74FI,hardcoalPlantStock_a,,capaConvResi,1.11
2020,75FI,hardcoalPlantStock_a,,capaConvResi,3.33
2025,75FI,hardcoalPlantStock_a,,capaConvResi,2.5
2020,20FR,hardcoalPlantStock_a,,capaConvResi,1.48
2020,21FR,hardcoalPlantStock_a,,capaConvResi,2.88
2020,25FR,hardcoalPlantStock_a,,capaConvResi,1.47
2020,26FR,hardcoalPlantStock_a,,capaConvResi,1.43
2020,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2025,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2030,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2035,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2040,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2045,62HR,hardcoalPlantStock_a,,capaConvResi,0.42
2020,58HU,hardcoalPlantStock_a,,capaConvResi,0.34
2020,96IE,hardcoalPlantStock_a,,capaConvResi,2.08
2020,52IT,hardcoalPlantStock_a,,capaConvResi,3.54
2020,53IT,hardcoalPlantStock_a,,capaConvResi,0.25
2020,54IT,hardcoalPlantStock_a,,capaConvResi,3.59
2020,55IT,hardcoalPlantStock_a,,capaConvResi,5.98
2020,98IT,hardcoalPlantStock_a,,capaConvResi,2.24
2020,30NL,hardcoalPlantStock_a,,capaConvResi,11.13
2025,30NL,hardcoalPlantStock_a,,capaConvResi,8.66
2020,41PL,hardcoalPlantStock_a,,capaConvResi,3.89
2025,41PL,hardcoalPlantStock_a,,capaConvResi,2.63
2030,41PL,hardcoalPlantStock_a,,capaConvResi,1.35
2035,41PL,hardcoalPlantStock_a,,capaConvResi,0.97
2040,41PL,hardcoalPlantStock_a,,capaConvResi,0.9
2045,41PL,hardcoalPlantStock_a,,capaConvResi,0.61
2050,41PL,hardcoalPlantStock_a,,capaConvResi,0.34
2020,42PL,hardcoalPlantStock_a,,capaConvResi,11.02
2025,42PL,hardcoalPlantStock_a,,capaConvResi,7.47
2030,42PL,hardcoalPlantStock_a,,capaConvResi,3.83
2035,42PL,hardcoalPlantStock_a,,capaConvResi,2.76
2040,42PL,hardcoalPlantStock_a,,capaConvResi,2.57
2045,42PL,hardcoalPlantStock_a,,capaConvResi,1.73
2050,42PL,hardcoalPlantStock_a,,capaConvResi,0.96
2020,43PL,hardcoalPlantStock_a,,capaConvResi,16.63
2025,43PL,hardcoalPlantStock_a,,capaConvResi,11.27
2030,43PL,hardcoalPlantStock_a,,capaConvResi,5.79
2035,43PL,hardcoalPlantStock_a,,capaConvResi,4.17
2040,43PL,hardcoalPlantStock_a,,capaConvResi,3.88
2045,43PL,hardcoalPlantStock_a,,capaConvResi,2.61
2050,43PL,hardcoalPlantStock_a,,capaConvResi,1.45
2020,44PL,hardcoalPlantStock_a,,capaConvResi,4.02
2025,44PL,hardcoalPlantStock_a,,capaConvResi,2.72
2030,44PL,hardcoalPlantStock_a,,capaConvResi,1.4
2035,44PL,hardcoalPlantStock_a,,capaConvResi,1
2040,44PL,hardcoalPlantStock_a,,capaConvResi,0.93
2045,44PL,hardcoalPlantStock_a,,capaConvResi,0.63
2050,44PL,hardcoalPlantStock_a,,capaConvResi,0.35
2020,45PL,hardcoalPlantStock_a,,capaConvResi,0.95
2025,45PL,hardcoalPlantStock_a,,capaConvResi,0.64
2030,45PL,hardcoalPlantStock_a,,capaConvResi,0.33
2035,45PL,hardcoalPlantStock_a,,capaConvResi,0.23
2040,45PL,hardcoalPlantStock_a,,capaConvResi,0.22
2045,45PL,hardcoalPlantStock_a,,capaConvResi,0.15
2050,45PL,hardcoalPlantStock_a,,capaConvResi,0.08
2020,13PT,hardcoalPlantStock_a,,capaConvResi,4.22
2025,13PT,hardcoalPlantStock_a,,capaConvResi,4.22
2020,60RO,hardcoalPlantStock_a,,capaConvResi,0.99
2025,60RO,hardcoalPlantStock_a,,capaConvResi,0.77
2030,60RO,hardcoalPlantStock_a,,capaConvResi,0.33
2035,60RO,hardcoalPlantStock_a,,capaConvResi,0.31
2020,61RO,hardcoalPlantStock_a,,capaConvResi,0.04
2025,61RO,hardcoalPlantStock_a,,capaConvResi,0.03
