timestep_3,timestep_5,region_4,technology_3,parameter,value
d001,h0001,01ES,bevFrtRoadLight,avaConv,0.188821157411972
d001,h0002,01ES,bevFrtRoadLight,avaConv,0.1895190403258
d001,h0003,01ES,bevFrtRoadLight,avaConv,0.208262300006697
d001,h0004,01ES,bevFrtRoadLight,avaConv,0.237434964253035
d001,h0005,01ES,bevFrtRoadLight,avaConv,0.268258685429882
d001,h0006,01ES,bevFrtRoadLight,avaConv,0.282592961999997
d001,h0007,01ES,bevFrtRoadLight,avaConv,0.279550337386131
d001,h0008,01ES,bevFrtRoadLight,avaConv,0.273131495230916
d001,h0009,01ES,bevFrtRoadLight,avaConv,0.263661813290769
d001,h0010,01ES,bevFrtRoadLight,avaConv,0.257494532268737
d001,h0011,01ES,bevFrtRoadLight,avaConv,0.241846182299845
d001,h0012,01ES,bevFrtRoadLight,avaConv,0.227010426003949
d001,h0013,01ES,bevFrtRoadLight,avaConv,0.208225697090996
d001,h0014,01ES,bevFrtRoadLight,avaConv,0.187412486505842
d001,h0015,01ES,bevFrtRoadLight,avaConv,0.156571733118072
d001,h0016,01ES,bevFrtRoadLight,avaConv,0.122374105077318
d001,h0017,01ES,bevFrtRoadLight,avaConv,0.116985013070685
d001,h0018,01ES,bevFrtRoadLight,avaConv,0.134541735075875
d001,h0019,01ES,bevFrtRoadLight,avaConv,0.151411287142254
d001,h0020,01ES,bevFrtRoadLight,avaConv,0.162495389595932
d001,h0021,01ES,bevFrtRoadLight,avaConv,0.177336937712159
d001,h0022,01ES,bevFrtRoadLight,avaConv,0.200217853052646
d001,h0023,01ES,bevFrtRoadLight,avaConv,0.217563157227896
d001,h0024,01ES,bevFrtRoadLight,avaConv,0.225528708971841
d002,h0025,01ES,bevFrtRoadLight,avaConv,0.227300284613913
d002,h0026,01ES,bevFrtRoadLight,avaConv,0.225421042369595
d002,h0027,01ES,bevFrtRoadLight,avaConv,0.222093312751236
d002,h0028,01ES,bevFrtRoadLight,avaConv,0.180450827653382
d002,h0029,01ES,bevFrtRoadLight,avaConv,0.180776828497395
d002,h0030,01ES,bevFrtRoadLight,avaConv,0.184688846756118
d002,h0031,01ES,bevFrtRoadLight,avaConv,0.217891028523366
d002,h0032,01ES,bevFrtRoadLight,avaConv,0.208868864485773
d002,h0033,01ES,bevFrtRoadLight,avaConv,0.191336044696367
d002,h0034,01ES,bevFrtRoadLight,avaConv,0.184492524694094
d002,h0035,01ES,bevFrtRoadLight,avaConv,0.175204017321233
d002,h0036,01ES,bevFrtRoadLight,avaConv,0.17110494906883
d002,h0037,01ES,bevFrtRoadLight,avaConv,0.167563498947451
d002,h0038,01ES,bevFrtRoadLight,avaConv,0.148520223346142
d002,h0039,01ES,bevFrtRoadLight,avaConv,0.126593387908746
d002,h0040,01ES,bevFrtRoadLight,avaConv,0.0922149805037232
d002,h0041,01ES,bevFrtRoadLight,avaConv,0.0654741168342737
d002,h0042,01ES,bevFrtRoadLight,avaConv,0.0626511958180722
d002,h0043,01ES,bevFrtRoadLight,avaConv,0.0990594986259508
d002,h0044,01ES,bevFrtRoadLight,avaConv,0.152436150524698
d002,h0045,01ES,bevFrtRoadLight,avaConv,0.17895633244516
d002,h0046,01ES,bevFrtRoadLight,avaConv,0.177890659409818
d002,h0047,01ES,bevFrtRoadLight,avaConv,0.173728605867181
d002,h0048,01ES,bevFrtRoadLight,avaConv,0.187621444517535
d003,h0049,01ES,bevFrtRoadLight,avaConv,0.226973506740401
d003,h0050,01ES,bevFrtRoadLight,avaConv,0.256694646494872
d003,h0051,01ES,bevFrtRoadLight,avaConv,0.273909495373145
d003,h0052,01ES,bevFrtRoadLight,avaConv,0.273737651020462
d003,h0053,01ES,bevFrtRoadLight,avaConv,0.268014031295418
d003,h0054,01ES,bevFrtRoadLight,avaConv,0.259166853886932
d003,h0055,01ES,bevFrtRoadLight,avaConv,0.248930974596693
d003,h0056,01ES,bevFrtRoadLight,avaConv,0.238624615737329
d003,h0057,01ES,bevFrtRoadLight,avaConv,0.226639709000355
d003,h0058,01ES,bevFrtRoadLight,avaConv,0.216559914065804
d003,h0059,01ES,bevFrtRoadLight,avaConv,0.204536092247407
d003,h0060,01ES,bevFrtRoadLight,avaConv,0.209605373056116
d003,h0061,01ES,bevFrtRoadLight,avaConv,0.215199617040481
d003,h0062,01ES,bevFrtRoadLight,avaConv,0.215746872544127
d003,h0063,01ES,bevFrtRoadLight,avaConv,0.202343257012103
d003,h0064,01ES,bevFrtRoadLight,avaConv,0.191010080612225
d003,h0065,01ES,bevFrtRoadLight,avaConv,0.186965529803445
