timestep_3,timestep_5,region_4,technology_3,parameter,value
d004,h0091,01ES,bevPsngRoadPub,avaConv,0.426777266043508
d004,h0092,01ES,bevPsngRoadPub,avaConv,0.49831943564109
d004,h0093,01ES,bevPsngRoadPub,avaConv,0.517877654581982
d004,h0094,01ES,bevPsngRoadPub,avaConv,0.520432728664462
d004,h0095,01ES,bevPsngRoadPub,avaConv,0.512547805179597
d004,h0096,01ES,bevPsngRoadPub,avaConv,0.493660202044773
d005,h0097,01ES,bevPsngRoadPub,avaConv,0.47136226169
d005,h0098,01ES,bevPsngRoadPub,avaConv,0.447698894987261
d005,h0099,01ES,bevPsngRoadPub,avaConv,0.425803437883966
d005,h0100,01ES,bevPsngRoadPub,avaConv,0.391907184505677
d005,h0101,01ES,bevPsngRoadPub,avaConv,0.370438030464012
d005,h0102,01ES,bevPsngRoadPub,avaConv,0.351964121020942
d005,h0103,01ES,bevPsngRoadPub,avaConv,0.34333874135746
d005,h0104,01ES,bevPsngRoadPub,avaConv,0.345571757290506
d005,h0105,01ES,bevPsngRoadPub,avaConv,0.404281042015127
d005,h0106,01ES,bevPsngRoadPub,avaConv,0.473712757141833
d005,h0107,01ES,bevPsngRoadPub,avaConv,0.523998454992729
d005,h0108,01ES,bevPsngRoadPub,avaConv,0.517766639621141
d005,h0109,01ES,bevPsngRoadPub,avaConv,0.496722195673624
d005,h0110,01ES,bevPsngRoadPub,avaConv,0.455116348692656
d005,h0111,01ES,bevPsngRoadPub,avaConv,0.417594601907088
d005,h0112,01ES,bevPsngRoadPub,avaConv,0.379944031143221
d005,h0113,01ES,bevPsngRoadPub,avaConv,0.35607960730308
d005,h0114,01ES,bevPsngRoadPub,avaConv,0.329285344820764
d005,h0115,01ES,bevPsngRoadPub,avaConv,0.321648887208143
d005,h0116,01ES,bevPsngRoadPub,avaConv,0.316514282725886
d005,h0117,01ES,bevPsngRoadPub,avaConv,0.30219488700041
d005,h0118,01ES,bevPsngRoadPub,avaConv,0.269060834971548
d005,h0119,01ES,bevPsngRoadPub,avaConv,0.225989929341963
d005,h0120,01ES,bevPsngRoadPub,avaConv,0.203135662893236
d006,h0121,01ES,bevPsngRoadPub,avaConv,0.233984810700738
d006,h0122,01ES,bevPsngRoadPub,avaConv,0.267124602967492
d006,h0123,01ES,bevPsngRoadPub,avaConv,0.298676332985468
d006,h0124,01ES,bevPsngRoadPub,avaConv,0.328185096619853
d006,h0125,01ES,bevPsngRoadPub,avaConv,0.354854649662018
d006,h0126,01ES,bevPsngRoadPub,avaConv,0.395125358026531
d006,h0127,01ES,bevPsngRoadPub,avaConv,0.417687074706519
d006,h0128,01ES,bevPsngRoadPub,avaConv,0.457685865365135
d006,h0129,01ES,bevPsngRoadPub,avaConv,0.48543725506487
d006,h0130,01ES,bevPsngRoadPub,avaConv,0.502739900052949
d006,h0131,01ES,bevPsngRoadPub,avaConv,0.488933782679889
d006,h0132,01ES,bevPsngRoadPub,avaConv,0.481779795546419
d006,h0133,01ES,bevPsngRoadPub,avaConv,0.466643386701159
d006,h0134,01ES,bevPsngRoadPub,avaConv,0.441933974310349
d006,h0135,01ES,bevPsngRoadPub,avaConv,0.401566881267358
d006,h0136,01ES,bevPsngRoadPub,avaConv,0.355808768378172
d006,h0137,01ES,bevPsngRoadPub,avaConv,0.34392214852426
